336,"Paducah, KY",3,0.4,5.65,2017-05-15..2018-05-14
340,"Somerset, KY",3,0.44,4.22,2017-05-15..2018-05-14
344,"Alexandria, LA",3,0.83,8.46,2017-05-15..2018-05-14
348,"Lafayette, LA",2,0.74,4.16,2017-05-15..2018-05-14
352,"Monroe, LA",3,0.31,8.46,2017-05-15..2018-05-14
356,"New Orleans, LA",1,0.77,3.22,2017-05-15..2018-05-14
357,"New Orleans, LA Metro",1,1.02,6.9,2017-05-15..2018-05-14
360,"Shreveport, LA",2,0.96,3.5,2017-05-15..2018-05-14
364,"Augusta, ME",1,1.48,3.36,2017-05-15..2018-05-14
368,"Bangor, ME",1,0.67,3.36,2017-05-15..2018-05-14
372,"Portland, ME",3,0.88,3.53,2017-05-15..2018-05-14
376,"Presque Isle, ME",3,1.34,3.63,2017-05-15..2018-05-14
380,"Baltimore, MD",2,1.37,3.83,2017-05-15..2018-05-14
381,"Baltimore, MD Metro",2,1.64,7.82,2017-05-15..2018-05-14
384,"Boston, MA",3,2.57,6.58,2017-05-15..2018-05-14
385,"Boston, MA Metro",3,2.64,9.73,2017-05-15..2018-05-14
388,"Springfield, MA",3,2.09,6.02,2017-05-15..2018-05-14
396,"Cadillac, MI",2,1.27,4.28,2017-05-15..2018-05-14
400,"Detroit, MI",3,2.1,5.78,2017-05-15..2018-05-14
401,"Detroit, MI Metro",3,2.24,9.27,2017-05-15..2018-05-14
404,"Grand Rapids, MI",3,1.83,3.74,2017-05-15..2018-05-14
408,"Marquette, MI",2,0.63,3.63,2017-05-15..2018-05-14
412,"Duluth, MN",3,1.5,5.52,2017-05-15..2018-05-14
416,"Minneapolis, MN",3,1.58,7.05,2017-05-15..2018-05-14
417,"Minneapolis, MN Metro",3,1.83,11.36,2017-05-15..2018-05-14
420,"Rochester, MN",3,1.44,4.41,2017-05-15..2018-05-14
424,"Greenville, MS",3,0.77,8.46,2017-05-15..2018-05-14
428,"Gulfport, MS",1,0.57,3.5,2017-05-15..2018-05-14
432,"Jackson, MS",3,1.59,8.54,2017-05-15..2018-05-14
436,"Meridian, MS",3,0.29,8.46,2017-05-15..2018-05-14
440,"Tupelo, MS",3,0.67,8.46,2017-05-15..2018-05-14
444,"Columbia, MO",2,0.29,5.39,2017-05-15..2018-05-14
448,"Kansas City, MO",2,1.02,4.23,2017-05-15..2018-05-14
452,"Springfield, MO",1,0.12,3.83,2017-05-15..2018-05-14
456,"St. Louis, MO",2,1.07,5.02,2017-05-15..2018-05-14
457,"St. Louis, MO Metro",2,1.07,7.99,2017-05-15..2018-05-14
460,"Billings, MT",3,1.34,3.63,2017-05-15..2018-05-14
464,"Butte, MT",3,1.18,3.63,2017-05-15..2018-05-14
468,"Glasgow, MT",3,1.18,4.22,2017-05-15..2018-05-14
472,"Great Falls, MT",3,1.58,3.63,2017-05-15..2018-05-14
476,"Missoula, MT",3,1.51,3.63,2017-05-15..2018-05-14
480,"Grand Island, NE",3,0.35,4.28,2017-05-15..2018-05-14
484,"North Platte, NE",3,0.57,4.28,2017-05-15..2018-05-14
488,"Omaha, NE",3,0.98,4.42,2017-05-15..2018-05-14
492,"Scottsbluff, NE",2,1.41,3.59,2017-05-15..2018-05-14
496,"Elko, NV",3,1.19,3.63,2017-05-15..2018-05-14
500,"Las Vegas, NV",3,0.61,3.63,2017-05-15..2018-05-14
504,"Reno, NV",2,1.43,3.63,2017-05-15..2018-05-14
508,"Laconia, NH",3,1.25,5.96,2017-05-15..2018-05-14
