zip3,basepoint_city,state,service_area,rate_area,region,mileage_t,mileage_i
811,Del Norte,CO,152,74,5,A,234
812,Salida,CO,156,74,5,D,814
813,Cortez,CO,152,74,5,A,210
814,Montrose,CO,152,74,5,C,622
815,Grand Junction,CO,152,74,5,B,368
816,Meeker,CO,148,74,5,C,579
820,Laramie,WY,880,72,4,B,512
821,Lake Junction,WY,884,72,4,B,505
822,Lk,WY,880,72,4,C,548
823,Rawlins,WY,888,72,4,C,777
824,Emblem,WY,884,72,4,B,283
825,Riverton,WY,888,72,4,C,795
826,Casper,WY,880,72,4,A,149
827,Moorcroft,WY,708,72,4,C,624
828,Buffalo,WY,884,72,4,A,124
829,Rock Springs,WY,888,72,4,D,801
830,Jackson,WY,884,72,4,B,443
831,Daniel,WY,888,72,4,A,224
832,Blackfoot,ID,240,83,1,A,91
833,Shoshone,ID,244,83,1,D,867
834,St Anthony,ID,240,83,1,D,896
835,Kamiah,ID,844,83,1,B,465
836,Boise,ID,236,83,1,A,94
837,Boise,ID,236,83,1,A,94
838,Coeur D Alene,ID,844,83,1,A,189
840,Salt Lake City,UT,800,76,3,D,819
841,Salt Lake City,UT,800,76,3,D,819
842,Salt Lake City,UT,800,76,3,D,819
843,Elwood,UT,800,76,3,B,282
844,Ogden,UT,800,76,3,C,688
845,Moab,UT,796,76,3,C,605
846,Delta,UT,796,76,3,A,237
847,Cedar City,UT,792,76,3,A,153
850,Phoenix,AZ,28,79,3,C,730
851,Phoenix,AZ,28,79,3,C,730
852,Florence,AZ,28,79,3,B,316
853,Buckeye,AZ,36,79,3,A,120
855,Globe,AZ,28,79,3,B,358
856,Benson,AZ,32,79,3,A,78
857,Tucson,AZ,32,79,3,D,978
859,Show Low,AZ,24,79,3,D,868
860,Flagstaff,AZ,24,79,3,B,313
863,Prescott,AZ,24,79,3,C,760
864,Kingman,AZ,500,79,3,B,481
865,Ganado,AZ,24,79,3,B,344
870,Albuquerque,NM,516,77,3,A,10
871,Albuquerque,NM,516,77,3,A,10
872,Albuquerque,NM,516,77,3,A,10
873,Gallup,NM,528,77,3,B,343
874,Farmington,NM,528,77,3,B,305
875,Ojo Caliente,NM,516,77,3,C,689
877,Wagon Mound,NM,516,77,3,D,1015
878,Datil,NM,516,77,3,A,225
879,Truth or Consequen,NM,532,77,3,D,976
880,Deming,NM,532,77,3,A,238
881,Elida,NM,524,77,3,B,273
882,Maljamar,NM,520,77,3,C,555
883,Hondo,NM,532,77,3,B,414
884,Tucumcari,NM,516,77,3,D,979
885,El Paso,TX,760,66,6,B,272
889,Las Vegas,NV,500,86,2,B,514
890,Las Vegas,NV,500,86,2,B,514
891,Las Vegas,NV,500,86,2,B,514
893,Eureka,NV,496,86,2,B,294
894,Lovelock,NV,504,86,2,C,546
895,Reno,NV,504,86,2,C,784
896,Reno,NV,504,86,2,C,784
897,Carson City,NV,504,86,2,A,148
898,Elko,NV,496,86,2,B,276
900,Los Angeles,CA,57,88,2,C,542
901,Los Angeles,CA,57,88,2,C,542
902,Beverly Hills,CA,56,88,2,A,83
903,Inglewood,CA,56,88,2,B,433
904,Santa Monica,CA,56,88,2,D,836
905,Torrance,CA,56,88,2,D,964
906,Norwalk,CA,56,88,2,C,683
907,Lakewood,CA,56,88,2,B,507
908,Signal Hill,CA,56,88,2,D,871
909,Los Angeles,CA,57,88,2,C,542
910,Pasadena,CA,56,88,2,C,716
911,Pasadena,CA,56,88,2,C,716
912,Pasadena,CA,56,88,2,C,716
913,San Fernando,CA,56,88,2,D,825
914,Sherman Oaks,CA,56,88,2,D,866
915,Burbank,CA,56,88,2,A,125
916,Burbank,CA,56,88,2,A,125
917,W Covina,CA,56,88,2,D,1013
918,Alhambra,CA,56,88,2,A,14
919,Dulzura,CA,76,88,2,A,255
920,San Pasqual,CA,76,88,2,D,830
921,San Diego,CA,77,88,2,D,824
922,Indio,CA,72,88,2,B,430
923,Barstow,CA,72,88,2,A,61
924,San Bernardino,CA,72,88,2,D,823
925,Riverside,CA,72,88,2,C,794
926,Santa Ana,CA,56,88,2,D,834
927,Santa Ana,CA,56,88,2,D,834
928,Anaheim,CA,56,88,2,A,25
930,Ventura,CA,56,88,2,D,1001
931,Santa Barbara,CA,56,88,2,D,835
932,Delano,CA,56,ZIP,2,A,235
933,Bakersfield,CA,56,88,2,A,54
934,San Luis Obispo,CA,56,88,2,D,828
935,Olancha,CA,56,ZIP,2,C,691
936,Fresno,CA,52,87,2,B,336
937,Fresno,CA,52,87,2,B,336
938,Fresno,CA,52,87,2,B,336
939,Salinas,CA,60,87,2,D,816
940,Belmont,CA,80,87,2,A,74
941,San Francisco,CA,81,87,2,D,826
942,Sacramento,CA,68,87,2,D,812
943,Palo Alto,CA,80,87,2,C,711
944,San Mateo,CA,80,87,2,D,829
945,Walnut Creek,CA,80,87,2,D,1020
946,Oakland,CA,80,87,2,C,686
947,Oakland,CA,80,87,2,C,686
948,Richmond,CA,80,87,2,C,785
949,San Rafael,CA,80,87,2,D,831
950,Gilroy,CA,80,87,2,B,353
951,San Jose,CA,81,87,2,D,827
952,Stockton,CA,68,87,2,D,931
953,Modesto,CA,68,87,2,C,608
954,Hopland,CA,80,87,2,B,417
955,Eureka,CA,64,87,2,B,292
956,Sacramento,CA,68,87,2,D,812
957,Gold Run,CA,68,87,2,B,360
958,Sacramento,CA,68,87,2,D,812
959,Oroville,CA,84,87,2,C,701
960,Redding,CA,64,87,2,C,781
961,Johnstonville,CA,68,87,2,B,454
970,Portland,OR,660,85,1,C,754
971,Forest Grove,OR,660,85,1,B,319
972,Portland,OR,660,85,1,C,754
973,Albany,OR,660,85,1,A,9
974,Roseburg,OR,648,85,1,D,804
975,Medford,OR,652,85,1,C,577
976,Valley Falls,OR,652,85,1,D,994
977,Bend,OR,644,85,1,A,77
978,North Powder,OR,656,85,1,C,677
979,Vale,OR,236,85,1,D,992
980,North Bend,WA,840,84,1,C,675
981,Seattle,WA,841,84,1,D,849
982,Sedro Woolley,WA,832,84,1,D,853
983,Tacoma,WA,840,84,1,D,946
984,Tacoma,WA,840,84,1,D,946
985,Elma,WA,840,84,1,B,279
986,Washougal,WA,660,84,1,D,1023
988,Brewster,WA,848,84,1,A,106
989,Yakima,WA,848,84,1,D,1080
990,Spokane,WA,844,84,1,D,889
991,Davenport,WA,844,84,1,A,228
992,Spokane,WA,844,84,1,D,889
993,Pasco,WA,836,84,1,C,717
994,Clarkston,WA,836,84,1,A,180
995,Anchorage,AK,22,ZIP,14,D,26
996,Kodiak,AK,22,ZIP,14,D,490
996,Anchorage,AK,22,ZIP,14,D,26
997,Cordova,AK,22,8190100,14,D,204
997,Fairbanks,AK,22,8190100,14,D,297
998,Juneau,AK,22,8030400,14,D,461
998,Petersburg,AK,22,8030400,14,D,726
998,Sitka,AK,22,8030400,14,D,876
999,Ketchikan,AK,22,8030400,14,D,476
999,Wrangell,AK,22,8030400,14,D,1077
